,ReH,ReE,ReHT,index,replica,set
2,0.35878871265626044,6.856597214960418,-4.659286411624259,2,57,85
3,0.35879714819577513,6.856636846231589,-4.659346379903005,3,57,85
0,-2.898630229280805,9.915041986312348,-8.047889925479701,0,58,85
1,-2.8986422038209954,9.91620556463539,-8.048280269436516,1,58,85
2,-2.8987159573169645,9.923372267240428,-8.050684472914844,2,58,85
3,-2.898636441642809,9.915645647923274,-8.048092434978436,3,58,85
0,0.3697318825246066,6.080300685363502,-1.7526304692057173,0,59,85
1,0.3697345306884495,6.08029932571702,-1.7526420053837297,1,59,85
2,0.369731449081138,6.080300907941934,-1.7526285811199553,2,59,85
3,0.36973167620442016,6.08030079126687,-1.7526295703173065,3,59,85
0,1.7610880076694995,-3.246541954464397,-3.3468123378592045,0,60,85
1,1.7610982867503995,-3.246544661021545,-3.346807457266682,1,60,85
2,1.7610874083363566,-3.246541796670506,-3.346812622404229,2,60,85
3,1.7610887729037699,-3.246542155962045,-3.3468119745111706,3,60,85
0,1.67872588297511,-4.810730874777606,4.145782475640443,0,61,85
1,1.6783107817639542,-4.810047924527259,4.145369951165442,1,61,85
2,1.678278625560759,-4.809995019149461,4.145337994572821,2,61,85
3,1.6782434649942983,-4.809937170805654,4.145303052265438,3,61,85
0,1.0554300302816513,1.7618910186937855,-3.88424455882815,0,62,85
1,1.0554095251067817,1.761913622829445,-3.8842263341946346,1,62,85
2,1.0557020029118438,1.7615912062485064,-3.8844862832420612,2,62,85
3,1.0553859678107491,1.7619395915076703,-3.8842053968916637,3,62,85
0,1.2115760411242755,-0.12088028913380164,-0.6147682455112605,0,63,85
1,1.2115750686561895,-0.1208790779893863,-0.6147716001601371,1,63,85
2,1.2115817575667571,-0.1208874085802244,-0.6147485259773136,2,63,85
3,1.211574025617936,-0.1208777789609585,-0.6147751981502403,3,63,85
0,1.0886736249927147,-0.9495438900767996,5.138753364118548,0,64,85
1,1.0886645675595328,-0.9495309611780207,5.138744876711127,1,64,85
2,1.0886638715932708,-0.9495299677440758,5.138744224543592,2,64,85
3,1.08866309779353,-0.9495288632530401,5.138743499426284,3,64,85
0,1.0564543221597866,1.2191965238471112,-1.6428617031486152,0,65,85
1,1.0564538769873946,1.2191966346378835,-1.6428619611156465,1,65,85
2,1.0564494481431819,1.219197736705,-1.6428645276524385,2,65,85
3,1.056454725433152,1.2191964235884272,-1.642861469375884,3,65,85
0,1.3321600197187364,-0.3998600859892043,-3.2446054389031516,0,66,85
1,1.3321586706142958,-0.3998586030286919,-3.244603699590229,1,66,85
2,1.332161442026678,-0.3998616494508511,-3.2446072725784934,2,66,85
3,1.332141496322363,-0.3998397244655977,-3.244581558038032,3,66,85
0,1.0103921521423103,0.6988299015436311,1.4238258663467036,0,67,85
1,1.010389566714145,0.6988334073592025,1.4238297552784154,1,67,85
2,1.0103930246927404,0.6988287183848471,1.4238245531888443,2,67,85
3,1.0103924453306794,0.6988295039809649,1.4238254254646971,3,67,85
0,1.3833875937452091,-2.177466749516565,2.213297468017622,0,68,85
1,1.3833639003070592,-2.1774821760455922,2.213296420467036,1,68,85
2,1.3833745597308267,-2.1774752358189353,2.2132968917497826,2,68,85
3,1.383217493179628,-2.177577500082049,2.2132899474177306,3,68,85
0,0.7781259547231506,3.6944175422435883,-3.4912578379801342,0,69,85
1,0.7782810935628712,3.694257263609263,-3.4911510441959352,1,69,85
2,0.7781316142718777,3.6944116951904844,-3.491253942081571,2,69,85
3,0.7781063337340919,3.6944378132801132,-3.4912713445858126,3,69,85
0,0.45110925751595016,6.976134096770828,-6.767286149004995,0,70,85
1,0.45110922774119705,6.976132285358105,-6.767285661693726,1,70,85
2,0.4511091723877946,6.976128918137968,-6.767284755838631,2,70,85
3,0.45110977418263665,6.976165531234247,-6.767294605595064,3,70,85
0,0.6994202827923117,2.975793362125274,1.4425813892175825,0,71,85
1,0.6994335849441073,2.975761677098025,1.4425542741890283,1,71,85
2,0.6994224192158276,2.975788273280405,1.4425770343643813,2,71,85
3,0.6994212819730488,2.975790982132855,1.4425793525320452,3,71,85
0,1.944755164809422,-5.241005404520288,-0.8097326135977774,0,72,85
1,1.9447545984298964,-5.241005159035103,-0.8097331611271344,1,72,85
2,1.9447557366215544,-5.241005652340146,-0.8097320608438114,2,72,85
3,1.944762943377587,-5.2410087758548,-0.8097250941008256,3,72,85
0,0.4251527456140635,3.3911101185892116,6.073728893302829,0,73,85
1,0.4247139214662056,3.390843257282889,6.073317646131768,1,73,85
2,0.4247459028474982,3.3908627060603806,6.073347617711758,2,73,85
3,0.42477515164362734,3.3908804930770016,6.073375028430889,3,73,85
0,0.9818805202593149,1.003699512426048,0.9181544017258869,0,74,85
1,0.9818844378776432,1.0036944146954587,0.9181595323335128,1,74,85
2,0.9818841482685206,1.0036947915258292,0.918159153138056,2,74,85
3,0.9818838780075354,1.0036951431981032,0.9181587991908127,3,74,85
0,0.9946434552458492,1.6743343413857836,-1.6293274997742966,0,75,85
