,set,replica,ReH,ReE,ReHT
7551,77.0,51.0,0.8675885235554195,1.150278135364521,0.7671119288149948
7552,77.0,52.0,0.8212829685447368,-1.1559708295342526,5.076059385323671
7553,77.0,53.0,0.9499066718836015,-4.093904226156512,1.9197129870273248
7554,77.0,54.0,1.0801917928020277,-2.1219314618005995,-3.775998493918418
7555,77.0,55.0,0.916953030612742,-2.681415436350207,2.176283508761137
7556,77.0,56.0,0.9044936000173545,-3.4944784598664063,1.7167064501714489
7557,77.0,57.0,0.6735352369026624,3.5579549348869226,5.298200295260502
7558,77.0,58.0,0.8461016983829142,3.149186436076194,0.13492104465627294
7559,77.0,59.0,0.6555719067743528,4.740175308662403,5.520221821268949
7560,77.0,60.0,0.9941304051319109,-2.7004786311115,-1.4689801730323708
7561,77.0,61.0,0.7425258842848907,7.188048888033707,-0.39612152119988114
7562,77.0,62.0,0.8653175239549844,-0.09694985904547238,0.18718307893602598
7563,77.0,63.0,0.8805307067452208,2.9448951989982124,-1.1311611221112767
7564,77.0,64.0,1.016497536522224,0.6845471343751945,-3.802513415599195
7565,77.0,65.0,0.9286833155713796,-0.4313982284486599,-1.229017716241576
7566,77.0,66.0,0.9835437729013757,-0.9153801074081176,-0.7681000161502702
7567,77.0,67.0,1.1131386519797029,1.8689785194638997,-7.919853258612659
7568,77.0,68.0,0.9434641481186069,-3.580967579202431,1.4599873042016538
7569,77.0,69.0,0.9057396452494022,-6.502414742178393,0.7337591946873692
7570,77.0,70.0,0.6587677638564117,3.8899712565669677,5.326917364313751
7571,77.0,71.0,1.1986317422143913,-6.386134041229537,-6.397292530806658
7572,77.0,72.0,0.865981756148577,1.926043348601636,0.22502300514496426
7573,77.0,73.0,1.0504890909928968,3.5185908293831334,-7.682830486354177
7574,77.0,74.0,0.78394346558883,2.455942997979287,2.605049364091109
7575,77.0,75.0,0.7871464884138327,4.651482738817486,0.9889224778063832
7576,77.0,76.0,0.9730836423778563,-3.4382590314839945,0.9919754627687057
7577,77.0,77.0,0.9517574870026215,-4.1872120333646885,1.3482501016353905
7578,77.0,78.0,1.150664398006967,-6.110067255900854,-5.1879799286345465
7579,77.0,79.0,0.7673577668851309,5.0584040236557435,1.5908105478625174
7580,77.0,80.0,1.087346520621237,-0.14670339015011946,-5.81236648292651
7581,77.0,81.0,1.0783081984915261,-3.366616542421501,9.836789583237934
7582,77.0,82.0,0.8286525170727346,-0.38255587307706757,3.3017433980321096
7583,77.0,83.0,0.9740881795240842,-1.8607788290620038,-0.3863421698888698
7584,77.0,84.0,0.9843183416090295,-4.808098047143899,0.22192005938154036
7585,77.0,85.0,0.7882214486165364,6.655625995037617,2.078318944580417
7586,77.0,86.0,0.9545956225376767,0.24461459151930182,-1.4398288439346238
