,#Set,ReH,sigmaReH,ReE,sigmaReE,ReHtilde,sigmaReHtilde
8415,187,1.029361148,1.097696964,-0.127441801,38.46844588,2.837134002,33.85282033
8460,188,0.20695623,7.676011225,3.103685191,44.11007567,2.492486186,5.930509318
8505,189,0.242790858,0.605549798,-0.182938178,9.996945088,2.013758379,3.068788822
8550,190,1.094133211,3.679084903,-1.058431243,22.64301739,2.292511066,4.829662408
8595,191,0.759568706,0.816074603,-2.288800394,8.674220615,3.431188638,3.490656091
8640,192,0.672099432,1.097645648,-1.139537703,11.41306171,2.730320982,4.306688408
8685,193,1.652230661,0.354112047,-3.630078396,14.55604996,6.190071737,12.32932444
8730,194,0.331631888,0.103800782,-2.479162821,11.29831638,2.345595841,6.13403978
8775,195,1.281715639,0.99969301,7.528326388,92.45905134,-0.943257682,52.14569437
8820,196,1.398562861,0.957649129,0.197994754,16.44170427,1.845434827,13.36160694
8865,197,2.196269639,6.171594415,-9.675058561,44.67213084,5.928187158,12.07916396
8910,198,1.72723193,1.327939071,-5.475598053,12.07954893,4.944561162,5.999867695
8955,199,1.079759486,1.058732102,-3.921345954,11.65503046,4.638945851,5.511814946
9000,200,-0.18538004,4.91796043,5.116124564,29.12235195,1.763163731,4.19178082
9045,201,1.055716647,2.298251848,-4.783551107,20.23915585,3.680310765,6.111008413
9090,202,1.352384604,2.687653635,-0.193392208,46.57946066,3.619068661,5.146184237
9135,203,1.136906972,1.245843249,-2.653557054,12.30144306,4.074158066,5.685711171
9180,204,1.588594132,2.021619982,-3.565604723,16.63761425,4.835585107,6.865990074
9225,205,0.283773753,4.743745186,-26.01948445,106.2127292,21.36642282,83.60600115
9270,206,0.661569315,0.31669765,-4.077365434,8.980694567,3.592587313,5.321962943
9315,207,1.421047707,0.379095932,-3.15971011,18.32777841,4.469359911,16.45162022
9360,208,1.140358245,2.878745559,-4.687367975,20.92361227,3.190239732,4.032040755
9405,209,1.068389151,0.686961182,-1.603317766,28.50879276,3.941329623,24.6012929
9450,210,0.456457733,0.734959981,-0.068050855,30.73290016,2.324092124,14.02952768
9495,211,0.737330399,0.909002268,0.406364122,10.60106687,2.782936552,5.382037848
9540,212,0.034651092,3.555359978,5.001802844,28.29213118,1.578981781,6.728813352
9585,213,1.583663105,1.495102919,-2.149097104,15.5419027,3.31451324,10.22549162
9630,214,0.915956914,1.023086502,-1.05034912,10.09658759,2.51961275,4.581751523
9675,215,1.772942446,5.308034641,-7.480781583,35.42167678,5.494654303,5.462528572
9720,216,1.647054233,1.470131124,-2.630540383,12.52697469,4.612095673,6.523015221
9765,217,0.644262375,1.622368128,-2.312334346,14.86852952,3.104026354,2.762460623
