#ReH,ReH_err,ReE,ReE_err,ReHtilde,ReHtilde_err,dvcs,dvcs_err
0.674743,1.66146,-0.0472355,9.42605,0.030918,1.98228,0.00387266,0.00216584
1.5951,1.53412,1.69017,4.48573,-0.320467,1.83295,0.00169146,0.00132258
1.78123,1.32438,2.73845,2.8973,-0.465631,1.81014,0.00309617,0.00093431
-0.0352009,2.21694,88.498,271.278,0.78146,10.2566,0.00192348,0.00694196
0.113062,0.629134,2.08133,12.0997,0.406652,2.27994,0.00112979,0.00228196
-0.0487385,0.543473,-0.517904,5.90184,-0.167037,1.98768,0.00661121,0.00533712
-1.18337,0.76039,-4.95234,2.87972,0.924813,3.13804,0.00489672,0.00269053
-12.331,3.98009,132.429,245.249,-33.2458,11.5405,0.0491053,0.0414244
-1.78212,1.59232,3.72933,19.0301,-0.924009,2.59717,0.00132688,0.00344314
-0.0580969,0.66899,-0.377367,4.88471,-0.0954216,1.30095,0.00201119,0.00128569
0.810173,1.04861,1.37844,2.85788,-0.438589,1.78416,0.0027851,0.000756217
-0.493537,1.26317,-18.5596,64.3197,-2.23242,5.32313,-0.00244825,0.00262113
2.08141,1.31334,-6.29062,20.4364,1.8705,2.4087,-0.00271392,0.00409223
-0.012711,0.436234,-0.0910642,3.64523,-0.0537188,1.32156,0.00135234,0.00119694
-6.80226,4.97479,35.8236,129.81,-10.0834,6.98281,0.00657678,0.016573
-0.0437159,1.00058,-0.411911,12.8167,-0.107819,2.55544,0.000966118,0.00233472
0.112028,0.603919,0.74489,4.72637,0.229313,1.32258,0.000836799,0.000813002
-2.62971,0.195979,5.55319,2.64422,-1.33204,0.600046,0.0584525,0.00265779
-4.03292,0.65947,50.358,29.3576,-11.1733,6.50275,0.0560852,0.00221215
-3.00087,0.308137,-9.23737,2.2435,1.85407,0.73794,0.0492495,0.00237158
-2.0973,0.124906,3.21339,1.34737,-0.763654,0.30822,0.0281289,0.00100787
-2.37498,0.151578,-1.81917,1.09686,0.39465,0.273079,0.0283018,0.00079742
-2.6073,0.167266,-5.28401,0.986505,1.08003,0.31735,0.0296924,0.000772408
-0.68364,1.0938,-28.4484,12.3019,5.48041,2.35951,0.0288999,0.000782258
-1.29075,0.20171,1.81393,1.9534,-0.427618,0.427176,0.0175469,0.00109174
-2.03218,0.248428,-1.0252,1.5438,0.219733,0.374268,0.0174349,0.000857065
-1.6515,0.287424,-2.1133,1.38681,0.42081,0.418248,0.0146904,0.000802933
-1.33466,0.324883,-2.29063,1.35236,0.40394,0.484547,0.0146902,0.00079273
-2.60858,0.412723,2.80582,3.68785,-0.646255,0.767521,0.0565926,0.00524731
-2.66384,0.586536,-1.0253,2.88993,0.221827,0.688791,0.0504713,0.00401276
-1.74616,1.40275,-0.593731,3.1725,0.107155,0.817127,0.0472895,0.00430905
-1.80763,0.202969,2.13027,1.89582,-0.493728,0.412334,0.0308451,0.00162184
-1.67392,0.251893,-0.585074,1.46222,0.149534,0.347014,0.0269331,0.00122864
-2.03117,0.286007,-2.50053,1.3151,0.479598,0.398574,0.0260819,0.0011721
-6.00223,1.64058,35.5723,18.5889,-6.92811,3.60586,0.0242978,0.00114414
-1.5252,0.331837,1.71561,2.86809,-0.369489,0.58134,0.0207714,0.00181703
-1.98689,0.656596,-1.21527,2.05366,0.242996,0.58623,0.0176821,0.00132525
