Set,k,QQ,x,t,ReH_mean,ReH_stddev,ReE_mean,ReE_stddev,ReHtilde_mean,ReHtilde_stddev,time
28,5.750000,1.399600,0.332528,-0.261921,0.551392,0.261613,-2.013672,3.408975,2.631476,1.259171,32.772
29,5.750000,2.059420,0.433327,-0.272603,0.845915,0.070717,-2.640479,4.395427,2.620880,2.931059,39.940
30,5.750000,1.135280,0.589380,-0.463738,1.134281,1.400811,2.964385,11.727910,-10.475762,9.141565,30.967
31,5.750000,2.350680,0.434603,-0.316798,0.817706,0.078349,1.009285,2.511487,1.939161,1.488235,22.999
32,5.750000,2.755140,0.475665,-0.414944,1.063103,0.129747,0.432006,2.567809,2.064396,1.494784,20.058
33,5.750000,2.358660,0.439937,-0.420810,1.334434,0.429835,-1.788409,5.301068,3.280723,2.706678,23.691
34,5.750000,1.578050,0.378430,-0.276353,0.560224,0.180277,-1.149077,2.825660,2.664641,1.361927,34.563
35,5.750000,2.362160,0.460838,-0.354374,0.994365,0.144107,-0.885710,3.769864,2.524820,2.370157,31.561
36,5.750000,1.337010,0.423396,-0.410395,0.950621,0.579299,0.457443,4.533244,0.025312,1.962160,16.999
37,5.750000,1.401820,0.299700,-0.309792,1.253062,0.602470,-7.810608,5.878783,4.013763,1.638377,23.810
38,5.750000,4.107270,0.487991,-0.469317,1.711471,0.076686,-1.890356,11.085245,4.271050,1.648251,26.641





REPLICA_SIZE_OVER_NUM_INDEXES = 3:
1,2.750000,1.515760,0.369204,-0.306885,0.483668,0.372293,1.759183,15.846120,2.764018,0.770033,24.191
2,2.750000,1.867290,0.527413,-0.437447,1.215256,0.606587,1.741812,16.554482,4.315869,3.479062,62.029
3,2.750000,1.188990,0.580204,-0.479462,1.172658,3.301296,3.530649,29.884365,0.159379,18.554828,36.037
4,2.750000,1.444090,0.463857,-0.483145,1.757834,2.446254,-2.748682,26.353316,4.603143,7.945264,36.316
5,2.750000,1.615250,0.599496,-0.491783,1.897659,0.103243,1.172454,0.715945,0.644598,1.609376,11.782
6,2.750000,1.812020,0.384596,-0.443662,1.013200,0.573377,6.435300,35.803901,4.466415,9.118564,41.454
7,2.750000,1.855370,0.572306,-0.461333,1.389703,0.135679,1.596943,1.123308,1.897194,1.353506,12.230
8,2.750000,1.117980,0.283371,-0.498293,0.410268,2.955799,4.348639,22.634506,4.212816,1.715625,33.215
9,2.750000,1.783840,0.492262,-0.461759,1.557933,0.581554,-5.564231,12.600965,4.207073,2.287923,27.937
10,2.750000,1.664470,0.452008,-0.422538,1.519400,0.532164,-2.201942,11.330326,2.755702,1.907130,24.572
11,2.750000,1.191470,0.393982,-0.440906,0.313408,4.703750,5.647920,43.639282,2.106894,11.299256,46.917
12,2.750000,2.039650,0.547977,-0.449074,1.605357,0.584373,1.759497,18.889629,4.116622,2.444855,74.393
13,2.750000,1.686910,0.503554,-0.383757,1.256488,0.497446,-0.342235,13.607535,2.934560,3.961323,55.333
14,2.750000,1.554800,0.474670,-0.469742,2.070773,1.240276,-7.857773,16.455247,5.031383,4.566643,28.749
15,2.750000,1.605390,0.494002,-0.454349,1.687602,1.064837,-4.325342,16.443309,4.051259,4.996206,34.720
16,2.750000,1.370860,0.416852,-0.455687,1.454331,1.901625,-4.191449,21.000570,4.098351,5.143714,31.115
17,2.750000,1.628280,0.433084,-0.354941,0.888861,0.306458,2.118283,10.195577,2.144690,1.556615,21.094
18,2.750000,1.349210,0.609671,-0.496856,1.218950,4.621042,7.410471,49.352107,1.377317,33.504750,53.270
19,2.750000,1.665580,0.457363,-0.385021,0.978497,0.392044,-1.517149,11.065883,3.451455,2.004122,33.984
20,2.750000,1.014840,0.410423,-0.232699,0.509499,0.308135,0.149726,7.724405,2.398769,3.617407,35.154
21,2.750000,1.548800,0.416308,-0.488016,1.336902,1.010328,-3.495314,13.908015,4.720247,2.028181,26.051
22,2.750000,1.515440,0.313819,-0.448103,0.366089,5.574115,3.057144,73.804867,2.861852,10.995067,62.125
23,2.750000,1.075250,0.456711,-0.290708,0.720203,0.584148,1.221231,10.502783,3.418281,5.312129,56.564
24,2.750000,1.805680,0.447482,-0.454667,1.645327,0.341633,-5.581817,11.053352,3.522026,0.573454,22.113
25,2.750000,1.013320,0.423223,-0.238837,0.597573,0.335477,-1.123114,8.404252,3.029004,4.109628,45.617
26,2.750000,1.731350,0.470845,-0.390857,1.031247,0.294077,2.525823,9.334230,2.572323,1.621438,25.879
27,2.750000,1.472720,0.455851,-0.296889,0.837551,0.280049,2.073017,10.406996,2.087185,3.479027,40.096
28,5.750000,1.399600,0.332528,-0.261921,0.587943,0.449017,-2.488714,5.900955,2.829641,2.153067,30.354
29,5.750000,2.059420,0.433327,-0.272603,0.899068,0.171915,-5.980188,11.500238,4.819485,7.708628,70.726
30,5.750000,1.135280,0.589380,-0.463738,1.008866,2.138027,4.199383,17.902471,-11.457809,14.082620,31.403





REPLICA_SIZE_OVER_NUM_INDEXES = 5:
1,2.750000,1.515760,0.369204,-0.306885,0.553355,0.299218,-1.744034,13.259723,2.896684,0.601000,22.441
2,2.750000,1.867290,0.527413,-0.437447,1.270890,0.329209,0.819083,8.935925,4.421442,1.899512,44.439
3,2.750000,1.188990,0.580204,-0.479462,1.976044,2.668063,-3.842632,24.186275,4.977852,15.031608,30.364
4,2.750000,1.444090,0.463857,-0.483145,1.705087,1.763404,-2.209127,19.024729,4.401419,5.807214,30.418
5,2.750000,1.615250,0.599496,-0.491783,1.917040,0.072051,1.011619,0.608053,0.674930,1.253656,11.817
6,2.750000,1.812020,0.384596,-0.443662,0.887983,0.483285,-2.140621,29.605970,2.085762,7.332374,34.000
7,2.750000,1.855370,0.572306,-0.461333,1.381484,0.085710,1.582911,0.885792,1.740481,1.007427,12.274
8,2.750000,1.117980,0.283371,-0.498293,1.093729,2.183125,-0.955725,16.894508,4.544015,1.249742,28.339
9,2.750000,1.783840,0.492262,-0.461759,1.382342,0.345090,-2.404199,7.517648,3.601251,1.330509,24.041
10,2.750000,1.664470,0.452008,-0.422538,1.472994,0.331937,-1.557221,7.455367,2.770847,1.233858,22.322
11,2.750000,1.191470,0.393982,-0.440906,0.138352,3.720413,7.373216,34.371260,1.711406,8.817489,37.229
12,2.750000,2.039650,0.547977,-0.449074,1.580680,0.290155,3.128157,9.093404,4.064082,1.251203,41.087
13,2.750000,1.686910,0.503554,-0.383757,1.237876,0.265840,0.070150,7.206698,2.787716,2.091128,30.436
14,2.750000,1.554800,0.474670,-0.469742,1.874863,0.771186,-5.111451,10.464342,4.200814,2.981075,24.244
15,2.750000,1.605390,0.494002,-0.454349,1.648908,0.685605,-3.296353,10.858367,3.823793,3.306262,27.231
16,2.750000,1.370860,0.416852,-0.455687,1.651307,1.355136,-6.319304,14.876373,4.573555,3.585543,26.652
17,2.750000,1.628280,0.433084,-0.354941,0.948702,0.248276,0.296199,8.675687,2.489800,1.232927,20.743
18,2.750000,1.349210,0.609671,-0.496856,1.669093,3.973080,2.541241,42.408748,4.808204,28.924901,46.171
19,2.750000,1.665580,0.457363,-0.385021,0.926521,0.318186,-0.313592,8.964553,3.246210,1.668249,32.642
20,2.750000,1.014840,0.410423,-0.232699,0.490212,0.213019,0.536303,5.315651,2.283708,2.464908,26.609
21,2.750000,1.548800,0.416308,-0.488016,1.142263,0.663453,-1.031595,9.051283,4.446411,1.325742,21.809
22,2.750000,1.515440,0.313819,-0.448103,0.533806,3.414416,-0.478909,44.967366,1.898412,6.966689,39.890
23,2.750000,1.075250,0.456711,-0.290708,0.663467,0.318909,2.165678,5.605809,3.020604,2.811504,34.275
24,2.750000,1.805680,0.447482,-0.454667,1.601257,0.232864,-4.255195,8.003314,3.421029,0.450463,20.155
25,2.750000,1.013320,0.423223,-0.238837,0.545224,0.239343,0.163734,5.981532,2.398184,2.918205,28.115
26,2.750000,1.731350,0.470845,-0.390857,1.119697,0.310168,-0.934747,9.521686,3.099303,1.588091,30.470
27,2.750000,1.472720,0.455851,-0.296889,0.845130,0.099938,1.515877,2.995686,2.312917,1.061595,16.135
28,5.750000,1.399600,0.332528,-0.261921,0.513894,0.316911,-1.457870,4.230461,2.450085,1.600853,26.753





REPLICA_SIZE_OVER_NUM_INDEXES = 1:
1,2.750000,1.515760,0.369204,-0.306885,0.588784,0.623104,0.141166,27.446244,2.888524,1.358629,32.755
2,2.750000,1.867290,0.527413,-0.437447,1.162721,1.242706,4.321391,34.521169,3.689799,7.316240,98.170
3,2.750000,1.188990,0.580204,-0.479462,3.093742,5.433400,-13.948687,49.340166,11.244633,30.776271,55.920
4,2.750000,1.444090,0.463857,-0.483145,1.902228,4.353704,-4.155026,46.778080,5.061228,14.076878,52.813
5,2.750000,1.615250,0.599496,-0.491783,1.856534,0.188153,1.468807,1.385635,0.526033,2.490766,12.481
6,2.750000,1.812020,0.384596,-0.443662,1.225176,0.970891,0.568938,62.408852,3.638741,15.840312,59.971
7,2.750000,1.855370,0.572306,-0.461333,1.357013,0.256205,1.687720,3.297131,2.175763,2.288214,15.111
8,2.750000,1.117980,0.283371,-0.498293,0.317714,5.432710,5.269159,40.848786,4.194958,3.236026,48.107
9,2.750000,1.783840,0.492262,-0.461759,1.480359,0.950503,-4.768954,22.093513,4.113904,3.979670,36.407
10,2.750000,1.664470,0.452008,-0.422538,1.772482,0.885119,-7.355604,20.673091,3.784501,3.490650,33.535
11,2.750000,1.191470,0.393982,-0.440906,-0.506069,9.470290,13.200278,87.550006,0.200751,22.608249,83.175
12,2.750000,2.039650,0.547977,-0.449074,1.714665,1.396906,-2.521968,45.736733,4.742459,5.438046,146.002
13,2.750000,1.686910,0.503554,-0.383757,1.255436,1.206758,-0.154587,33.888975,3.005448,9.884973,148.617
14,2.750000,1.554800,0.474670,-0.469742,2.042532,1.922543,-7.335834,25.564245,4.953106,7.360146,35.534
15,2.750000,1.605390,0.494002,-0.454349,1.536832,2.539966,-2.192770,40.129940,3.473459,12.279507,59.926
16,2.750000,1.370860,0.416852,-0.455687,1.413173,2.839166,-3.568018,31.757586,4.029009,7.783297,40.722
17,2.750000,1.628280,0.433084,-0.354941,0.960390,0.639025,-0.861525,21.812173,2.686340,3.099016,33.254
18,2.750000,1.349210,0.609671,-0.496856,-0.487701,7.434544,25.758429,80.091755,-10.686069,55.013094,91.666
19,2.750000,1.665580,0.457363,-0.385021,0.921500,0.856806,-0.643058,24.232987,3.366987,4.418421,46.569
20,2.750000,1.014840,0.410423,-0.232699,0.544623,0.887166,0.110370,22.757641,2.482690,10.431552,120.668
21,2.750000,1.548800,0.416308,-0.488016,1.306668,1.456804,-3.030755,20.062947,4.565273,2.914451,31.024
