#Set,index,k,QQ,x_b,t,phi_x,F,sigmaF,varF,F1,F2
3,16,2.75,1.18899,0.580204,-0.479462,136,0.0895956,0.00447978,0.05,0.424314,0.568231
3,17,2.75,1.18899,0.580204,-0.479462,144,0.100739,0.00503697,0.05,0.424314,0.568231
3,18,2.75,1.18899,0.580204,-0.479462,152,0.0973037,0.00486518,0.05,0.424314,0.568231
3,19,2.75,1.18899,0.580204,-0.479462,160,0.0934974,0.00467487,0.05,0.424314,0.568231
3,20,2.75,1.18899,0.580204,-0.479462,168,0.0988762,0.00494381,0.05,0.424314,0.568231
3,21,2.75,1.18899,0.580204,-0.479462,176,0.0998181,0.0049909,0.05,0.424314,0.568231
3,22,2.75,1.18899,0.580204,-0.479462,184,0.0929594,0.00464797,0.05,0.424314,0.568231
3,23,2.75,1.18899,0.580204,-0.479462,192,0.102537,0.00512683,0.05,0.424314,0.568231
3,24,2.75,1.18899,0.580204,-0.479462,200,0.0884811,0.00442405,0.05,0.424314,0.568231
3,25,2.75,1.18899,0.580204,-0.479462,208,0.0954254,0.00477127,0.05,0.424314,0.568231
3,26,2.75,1.18899,0.580204,-0.479462,216,0.0911162,0.00455581,0.05,0.424314,0.568231
3,27,2.75,1.18899,0.580204,-0.479462,224,0.115388,0.00576941,0.05,0.424314,0.568231
3,28,2.75,1.18899,0.580204,-0.479462,232,0.0978297,0.00489149,0.05,0.424314,0.568231
3,29,2.75,1.18899,0.580204,-0.479462,240,0.104409,0.00522043,0.05,0.424314,0.568231
3,30,2.75,1.18899,0.580204,-0.479462,248,0.107381,0.00536907,0.05,0.424314,0.568231
3,31,2.75,1.18899,0.580204,-0.479462,256,0.100149,0.00500746,0.05,0.424314,0.568231
3,32,2.75,1.18899,0.580204,-0.479462,264,0.113808,0.00569039,0.05,0.424314,0.568231
3,33,2.75,1.18899,0.580204,-0.479462,272,0.110046,0.00550228,0.05,0.424314,0.568231
3,34,2.75,1.18899,0.580204,-0.479462,280,0.112827,0.00564135,0.05,0.424314,0.568231
3,35,2.75,1.18899,0.580204,-0.479462,288,0.1233,0.00616498,0.05,0.424314,0.568231
3,36,2.75,1.18899,0.580204,-0.479462,296,0.138736,0.00693681,0.05,0.424314,0.568231
3,37,2.75,1.18899,0.580204,-0.479462,304,0.14342,0.00717098,0.05,0.424314,0.568231
3,38,2.75,1.18899,0.580204,-0.479462,312,0.159545,0.00797723,0.05,0.424314,0.568231
3,39,2.75,1.18899,0.580204,-0.479462,320,0.171296,0.0085648,0.05,0.424314,0.568231
3,40,2.75,1.18899,0.580204,-0.479462,328,0.189877,0.00949385,0.05,0.424314,0.568231
3,41,2.75,1.18899,0.580204,-0.479462,336,0.221043,0.0110521,0.05,0.424314,0.568231
3,42,2.75,1.18899,0.580204,-0.479462,344,0.229916,0.0114958,0.05,0.424314,0.568231
3,43,2.75,1.18899,0.580204,-0.479462,352,0.192531,0.00962656,0.05,0.424314,0.568231
3,44,2.75,1.18899,0.580204,-0.479462,360,0.209979,0.0104989,0.05,0.424314,0.568231
4,0,2.75,1.44409,0.463857,-0.483145,8,0.582288,0.0291144,0.05,0.422266,0.564449
4,1,2.75,1.44409,0.463857,-0.483145,16,0.462943,0.0231471,0.05,0.422266,0.564449
4,2,2.75,1.44409,0.463857,-0.483145,24,0.349978,0.0174989,0.05,0.422266,0.564449
4,3,2.75,1.44409,0.463857,-0.483145,32,0.282138,0.0141069,0.05,0.422266,0.564449
4,4,2.75,1.44409,0.463857,-0.483145,40,0.217394,0.0108697,0.05,0.422266,0.564449
4,5,2.75,1.44409,0.463857,-0.483145,48,0.177368,0.00886842,0.05,0.422266,0.564449
4,6,2.75,1.44409,0.463857,-0.483145,56,0.144909,0.00724547,0.05,0.422266,0.564449
4,7,2.75,1.44409,0.463857,-0.483145,64,0.112116,0.00560582,0.05,0.422266,0.564449
4,8,2.75,1.44409,0.463857,-0.483145,72,0.103755,0.00518775,0.05,0.422266,0.564449
4,9,2.75,1.44409,0.463857,-0.483145,80,0.0965928,0.00482964,0.05,0.422266,0.564449
4,10,2.75,1.44409,0.463857,-0.483145,88,0.088107,0.00440535,0.05,0.422266,0.564449
4,11,2.75,1.44409,0.463857,-0.483145,96,0.0789198,0.00394599,0.05,0.422266,0.564449
4,12,2.75,1.44409,0.463857,-0.483145,104,0.0747614,0.00373807,0.05,0.422266,0.564449
4,13,2.75,1.44409,0.463857,-0.483145,112,0.0796944,0.00398472,0.05,0.422266,0.564449
4,14,2.75,1.44409,0.463857,-0.483145,120,0.0737684,0.00368842,0.05,0.422266,0.564449
4,15,2.75,1.44409,0.463857,-0.483145,128,0.0646157,0.00323079,0.05,0.422266,0.564449
4,16,2.75,1.44409,0.463857,-0.483145,136,0.0680765,0.00340382,0.05,0.422266,0.564449
