,phi_x,k,QQ,x_b,t,F1,F2,dvcs,F,sigmaF,F_cal,sigmaF_cal,ReH,sigmaReH,ReE,sigmaReE,ReHtilde,sigmaReHtilde,#Set
8816,336,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.00180057,9.002850000000001e-05,0.0016382051870338333,2.3378558164285535e-05,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8817,344,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.00159137,7.95686e-05,0.0016964083218353368,2.6520281777538118e-05,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8818,352,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.00175588,8.77941e-05,0.0017333919483471666,2.8835983368228888e-05,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8819,360,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.00181922,9.09609e-05,0.0017460826116444767,2.968495046099342e-05,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8820,8,16.0,4.0906400000000005,0.487249,-0.480505,0.423732,0.567157,0.0041152,0.00582258,0.000291129,0.005821545244844486,0.00011463038401443247,1.3985628612204009,0.9576491286000032,0.1979947537405206,16.44170426551969,1.8454348271098358,13.361606935334763,196
8821,16,16.0,4.0906400000000005,0.487249,-0.480505,0.423732,0.567157,0.0041152,0.00575055,0.000287527,0.005750323324397499,0.00010166819474411293,1.3985628612204009,0.9576491286000032,0.1979947537405206,16.44170426551969,1.8454348271098358,13.361606935334763,196
8822,24,16.0,4.0906400000000005,0.487249,-0.480505,0.423732,0.567157,0.0041152,0.0056595,0.000282975,0.005639448682038006,8.544091688139093e-05,1.3985628612204009,0.9576491286000032,0.1979947537405206,16.44170426551969,1.8454348271098358,13.361606935334763,196
8823,32,16.0,4.0906400000000005,0.487249,-0.480505,0.423732,0.567157,0.0041152,0.00546693,0.000273346,0.005499103038611203,7.236838500981252e-05,1.3985628612204009,0.9576491286000032,0.1979947537405206,16.44170426551969,1.8454348271098358,13.361606935334763,196
8824,40,16.0,4.0906400000000005,0.487249,-0.480505,0.423732,0.567157,0.0041152,0.00544353,0.000272177,0.005340923860564633,6.64758821746118e-05,1.3985628612204009,0.9576491286000032,0.1979947537405206,16.44170426551969,1.8454348271098358,13.361606935334763,196
8825,48,16.0,4.0906400000000005,0.487249,-0.480505,0.423732,0.567157,0.0041152,0.005536800000000001,0.00027684,0.005176327942369895,6.5198504285268e-05,1.3985628612204009,0.9576491286000032,0.1979947537405206,16.44170426551969,1.8454348271098358,13.361606935334763,196
8826,56,16.0,4.0906400000000005,0.487249,-0.480505,0.423732,0.567157,0.0041152,0.00527564,0.000263782,0.005015237317394813,6.25706075710862e-05,1.3985628612204009,0.9576491286000032,0.1979947537405206,16.44170426551969,1.8454348271098358,13.361606935334763,196
8827,64,16.0,4.0906400000000005,0.487249,-0.480505,0.423732,0.567157,0.0041152,0.00499811,0.000249905,0.004865353604641813,5.4807860471976426e-05,1.3985628612204009,0.9576491286000032,0.1979947537405206,16.44170426551969,1.8454348271098358,13.361606935334763,196
8828,72,16.0,4.0906400000000005,0.487249,-0.480505,0.423732,0.567157,0.0041152,0.00448747,0.000224374,0.004731943868149286,4.1351256952233326e-05,1.3985628612204009,0.9576491286000032,0.1979947537405206,16.44170426551969,1.8454348271098358,13.361606935334763,196
8829,80,16.0,4.0906400000000005,0.487249,-0.480505,0.423732,0.567157,0.0041152,0.00474874,0.000237437,0.0046179965318465495,2.3783707110940445e-05,1.3985628612204009,0.9576491286000032,0.1979947537405206,16.44170426551969,1.8454348271098358,13.361606935334763,196
8830,88,16.0,4.0906400000000005,0.487249,-0.480505,0.423732,0.567157,0.0041152,0.00466792,0.00023339599999999997,0.004524582822163814,4.6884648759312295e-06,1.3985628612204009,0.9576491286000032,0.1979947537405206,16.44170426551969,1.8454348271098358,13.361606935334763,196
